fournisseur;siret_fournisseur;siret_payeur;code_fournisseur;code_maison;maison;num_commande;date_commande;num_bl;date_bl;num_facture;date_facture;date_echeance;nature_facture;devise;reference_article;code_ean;libelle;famille;qte;px_unitaire_brut;px_unitaire_net;montant_brut;montant_remise;montant_net;taux_tva;montant_tva;montant_ttc;nom_client;num_serie;Commentaire;
"MG Developpement";"441407061";"517780870";;"GA101";;"19122022_1";"20221219";"18125";"20221223";"f_12985";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;17.00;;;17.00;2000;3.40;20.40;;;;
"MG Developpement";"441407061";"517780870";;"GA303";"GRAN";"C303000812";"20221222";"18128";"20221223";"f_12986";"20221223";"20230228";"FA";"EUR";"3661871125994";"3661871125994";"MINI BROSS NET 50ML (GA) - Pack de 24";"Nettoyage";1.00;;58.80;;;58.80;2000;11.76;70.56;;;;
"MG Developpement";"441407061";"517780870";;"GA303";"GRAN";"C303000812";"20221222";"18128";"20221223";"f_12986";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"GA303";"lun-ven 10h-12h / 14h-17h";"C303000812";"20221222";"18128";"20221223";"f_12986";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GA301";"GRAN";"C301000279";"20221207";"18129";"20221223";"f_12987";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";1.80;;42.00;;;75.60;2000;15.12;90.72;;;;
"MG Developpement";"441407061";"517780870";;"GA301";"GRAN";"C301000279";"20221207";"18129";"20221223";"f_12987";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";0.20;;42.00;;;8.40;2000;1.68;10.08;;;;
"MG Developpement";"441407061";"517780870";;"GA301";"GRAN";"C301000279";"20221207";"18129";"20221223";"f_12987";"20221223";"20230228";"FA";"EUR";"3661871126144";"3661871126144";"SPRAY GAZ SECHAGE 150ML (GA) - Pack de 12";"Séchage";1.00;;42.00;;;42.00;2000;8.40;50.40;;;;
"MG Developpement";"441407061";"517780870";;"GA301";;"C301000279";"20221207";"18129";"20221223";"f_12987";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"GA102";"GRAN";"C102000017";"20221208";"18130";"20221223";"f_12988";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
"MG Developpement";"441407061";"517780870";;"GA102";"GRAN";"C102000017";"20221208";"18130";"20221223";"f_12988";"20221223";"20230228";"FA";"EUR";"3661871126007";"3661871126007";"CAPSULE ASSECHANTE (GA) - Pack 24 boites de 4 Capsules";"Séchage";1.00;;48.00;;;48.00;2000;9.60;57.60;;;;
"MG Developpement";"441407061";"517780870";;"GA102";;"C102000017";"20221208";"18130";"20221223";"f_12988";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;17.00;;;17.00;2000;3.40;20.40;;;;
"MG Developpement";"441407061";"517780870";;"GA101";"GRAN";"09122022_1";"20221209";"18131";"20221223";"f_12989";"20221223";"20230228";"FA";"EUR";"3661871126045";"3661871126045";"LINGETTES NETTOYANTE AUDIO (GA) - Pack 20 boites de 50 Lingettes";"Nettoyage";5.00;;42.00;;;210.00;2000;42.00;252.00;;;;
"MG Developpement";"441407061";"517780870";;"GA101";;"09122022_1";"20221209";"18131";"20221223";"f_12989";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;17.00;;;17.00;2000;3.40;20.40;;;;
"MG Developpement";"441407061";"517780870";;"513";"ACUI";"C513002398";"20221220";"18132";"20221223";"f_12990";"20221223";"20230228";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";2.00;;58.80;;;117.60;2000;23.52;141.12;;;;
"MG Developpement";"441407061";"517780870";;"513";"ACUI";"C513002398";"20221220";"18132";"20221223";"f_12990";"20221223";"20230228";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"513";"ACUI";"C513002398";"20221220";"18132";"20221223";"f_12990";"20221223";"20230228";"FA";"EUR";"3661871125703";"3661871125703";"CAPSULE ASSECHANTE - Pack de 24 boites de 4 capsules";"Séchage";2.00;;48.00;;;96.00;2000;19.20;115.20;;;;
"MG Developpement";"441407061";"517780870";;"583";"ACUI";"C583000299";"20221216";"18134";"20221223";"f_12991";"20221223";"20230228";"FA";"EUR";"3661871125611";"3661871125611";"MINI BROSS NET GAZ 50 ML - Pack de 24";"Nettoyage";4.00;;58.80;;;235.20;2000;47.04;282.24;;;;
"MG Developpement";"441407061";"517780870";;"583";"ACUI";"C583000299";"20221216";"18134";"20221223";"f_12991";"20221223";"20230228";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"101";"ACUI";"C101002597";"20221220";"18135";"20221223";"f_12992";"20221223";"20230228";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";3.00;;42.00;;;126.00;2000;25.20;151.20;;;;
"MG Developpement";"441407061";"517780870";;"101";;"C101002597";"20221220";"18135";"20221223";"f_12992";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;12.00;;;12.00;2000;2.40;14.40;;;;
"MG Developpement";"441407061";"517780870";;"509";"ACUI";"C509002874";"20221219";"18136";"20221223";"f_12993";"20221223";"20230228";"FA";"EUR";"3661871125642";"3661871125642";"LINGETTE NETTOYANTE AUDIO - Pack de 20 boites de 50 Lingettes";"Nettoyage";2.00;;42.00;;;84.00;2000;16.80;100.80;;;;
"MG Developpement";"441407061";"517780870";;"509";"ACUI";"C509002874";"20221219";"18136";"20221223";"f_12993";"20221223";"20230228";"FA";"EUR";"3661871125659";"3661871125659";"GOBELET DE NETTOYAGE ET DE SECHAGE - Pack de 20";"Mixte";1.00;;24.00;;;24.00;2000;4.80;28.80;;;;
"MG Developpement";"441407061";"517780870";;"509";;"C509002874";"20221219";"18136";"20221223";"f_12993";"20221223";"20230228";"FA";"EUR";"PORTLOC";"PORTLOC";"Port Local";"Consommable";1.00;;17.00;;;17.00;2000;3.40;20.40;;;;
